,hikename,report,index
10,Bagley Lakes — Washington Trails Association,"
Beautiful day to be in the mountains! This is a very picturesque valley in the heather meadows area. Lots of little ponds and creeks to explore. My wife and I did multiple short walks throughout the area and loved it! There were no bugs at all and tons of views!
check out the video to see how beautiful this area is!
",10
11,Baker Lake - Maple Grove — Washington Trails Association,"
Nice lakeside hike and not too busy.  The unpaved section of the road had some potholes but was short.  The forest is nice but not fabulous.  New Pit toilet at the trailhead.  And a new 21st century tech one at the Maple Grove camp.  Hope it can last more than a few winters.  Bring your own paper.  I have it on good authority from 2 six year old girls that the water is very cold.  They and their other boat camper friends had filled the campground.  We made it there before noon and shortly thereafter the boats started up.  About an hour and a half of zooming about and then it quieted down again.  My accountant tells me there are 21 wooded bridges that we crossed.  Pleasant temperatures and easy shady path made for a very nice afternoon.
",11
12,Baldy Mountain — Washington Trails Association,"
Was staying at the big pine campground and decided to climb the hill across the road. So we took the harder trail that goes through the gate and boy that was straight up! We made it about a mile up where it levels off for a bit and meets up with the alternate trail just in time for the sunset. The view was amazing plus there was a double rainbow! We ended up not continuing on because it started to rain pretty good. We took the other trail down which was way easier. If you don’t plan o going during the heat of the day I would take that trail off to the left because it allows for better views as it goes along the ridge. Although that steep section was a little fun too. I definitely want to do this hike again and especially try to make it to the top.
",12
13,Baldy — Washington Trails Association,"
Went up Baldy yesterday from the Upper Dungeness trailhead turned around at 5200 ft.
Followed the dungeness river then split off to head up the burn. The burn trail below the forest road is definitely choked with bushes and made it tough to use my hiking poles. Got up to the forest road and it was a nice break from the steepness. The hike description says you can drive your car to this point if you don't mind damaging tires and paint - this is definitely not possible. The forest road is totally washed out in some places. The split from the road is well marked with climbers tape and I headed up. It's a pretty steep trail with little purchase but in good condition. I got up to the campsite at 5200 ft and decided to turn back for the day.
It was pretty rainy and the trail often has trees close in so I got pretty wet. I definitely wished I had brought my gaiters. On the way down it's easy to miss the turn off to the lower burn trail but if you come to a huge washout on the forest road you know you have gone too far.
",13
14,Bandera Mountain — Washington Trails Association,"
The crowds have used off somewhat. At 8 AM there were only four cars in the parking lot and when we came back down at 11:30 it’s still had many spaces and was perhaps only halfway full.It is a relaxing hike at the bottom but has a seriously steep part after the Bandera mountain sign page
,
I would disagree with the route description stating that the true summit is forested--instead it is a large mound of boulders (see first picture) with wonderful 360 degree views. Perhaps the author mistook the forested false summit between the 5157-foot peak and Bandera as the true summit? As the the route description states the trail from the west summit to the true summit becomes more difficult to follow; toward the end there are cairns to follow as you climb up a talus slope and the summit is marked with a register.
Trail and road conditions are great. No bugs except for a couple at the summit but they didn't bite. The plants in the meadows after the trail splits for Mason lake/Bandera are starting to turn beautiful shades of red and orange. It was a bit hazy/smokey today but I could still make out Rainier. There's still some ripe huckleberries and blueberries at the top. Enjoy!


,
This hike is brutal on the knees! The hike starts out with a steady consistent incline through the woods. About a mile in the incline increases making you feel the burn a bit more but it is still manageable. Eventually the trail opens up and you will encounter a fork in the trail. To the left you will head to Mason Lake going to the right takes you to Bandera Mountain. That's where the real climb begins. It is slow going and hard on the legs and knees if you are not used to it. I highly recommend sturdy hiking boots for this section. Most of it is climbing over large rocks. I saw some people hiking it in Chaco sandals and really don't know how they did it.
We reached the ""false summit"" of the trail and decided to stop there. The views are excellent from that point so we were fine stopping there. Knowing how hard the descent would be on our legs we decided it was best not to push it. Take your time on the descent! The dust and steep incline on the toughest part make it easy to slip. Make sure you're being strategic about your footing.
Overall it's a beautiful hike and I'm glad I did it. I heard that earlier in the summer the bugs were unbearable but when we went there were none to be seen. The road to get to the trailhead is a little rough in spots as well but in good condition overall.
,
Hiked solo on a sunny smoke-free Sunday Labor Day weekend. Trail description is generally accurate. The parking lot is pretty big and there is ample space on the road to park on the shoulder for quite a distance. Lots of folks on the trail including lots of dogs. First half of trail in good shape wide smooth dirt to place my big boots. Second half gets rockier and tighter underfoot. At the Bandera/Mason Lake split it's all boulders to the summit. Most of that distance is super steep Mt Si style. Going down is worse than up. What a payoff at the top however. Several good places to perch have lunch and see the valley Rainier Adams and the lake below to the north. This is not an easy hike but if you take your time it's high on the list of Snoqualmie routes.
",14
15,Barclay Lake — Washington Trails Association,"
Hiked to Barclay Lake with a group of 11 from Aham Yoga. It was the end of summer hike and yoga. We met at the trailhead at 8am. There were 5 cars in the lot when we got their. Most turned out to be young families camping. 1 campsite of fishermen.
And it feels like fall. It is beautiful lots of little ups and downs tree roots and rocks. Barclay Creek is gone. The bridge crosses a river of rocks.  Every so often amazing views of Gun and Merchant Peaks.  You see the lake through the trees right before you come to the campsites. Baring Mountain towers above it all the lake lying at its feet. The sun was in the sun was out all was still and then a little wind picked up. A mixed bag of weather tricks. 
The lake was very low which allowed us a premiere spot to practice on its bank with the lake before us and mountain above. An hour's practice passed like a blink. 
Almost all of the campers (lots of little kiddos) were heading back at the same time as we were. Passed 5 or 6 hikers heading in. A mix of kids and dogs in the bunch. 
I hope to visit again soon when the creek is running and the lake is full. Fun to experience the trails as the seasons turn.

,
This is a lovely trail winding 2 miles through the woods to Barclay Lake.  This was my first time to this lake.  
The road in does have some potholes and a little washboarding in places but is in pretty good shape and I would be comfortable driving any vehicle in to the trailhead.  
I hiked this midday and still did not encounter any bugs which was nice.  You get peekaboo views of the towering rock peaks through the trees as you go.  Once you clear the thick young forest at the start of the trail you'll see more tree types different ferns etc.  We saw woodpeckers a varied thrush and a baby mouse.  
Barclay Creek was dry when we hiked - when you get to the lake you'll see why.  The lake is so low that it doesn't reach its outlet!  I don't know if this is normal for this lake in late summer but I felt it was still very worth the hike.  There was definitely a lot of beach! At the lake you really get a great view of those massive rock peaks.  There are plenty of logs to sit on and enjoy your lunch. The sun was in the wrong spot for my photos but it was beautiful there.  I would like to go back when the lake is full and the creek is running. 
 
,
Beautiful day on a well-maintained easy trail. Made it up to the trailhead by 10am and missed all the Labor Day hikers until most of the way back. View at the lake was terrific and we’ll worth the little exertion to get there. Only part that wasn’t so fun was sitting in traffic up to Sultan on the way back.
,
Got to trailhead at 8:30a there was already a full parking lot although parking along the road adjacent to the small lot was fairly easy. Although the lot was full there were no people around which leads me to believe there were a lot of overnight campers during the long weekend. The trail was very well-maintained and it was fairly easy for our 2 yr old corgi to traverse. Definitely not that many switchbacks/long inclines. The view of the lake and nearby mountains was breathtaking. Well worth the hike to be able to picnic along the lakeshore with our pup. 
",15
16,Bare Mountain — Washington Trails Association,"
I hope you enjoy shrubs. 
Our drive from Seattle to the trailhead was 1 hr. and 45 min. The bulk of travel time was spent 17-24 miles down a dirt road ridden with potholes - albeit not as bad as Mt. Pilchuck.
The parking lot fits three cars with room further down the road to park on the side. The beginning of the trail was pretty narrow. You start to hear Bear creek about 15 minutes in and once you're there you cross logs/slippery rocks to the other side.
Next prepare to walk on rocks of varying sizes for a while. Be cautious if you have any ankle injuries. Once you pass those you'll enter the forest for a brief amount of time.
After the forest you'll enter a crossover scene between I Am Legend and Jurassic Park. You'll wade through ferns with minimal visibility crouch from low-flying birds and bypass bees in an agile fashion. ""Oh was that a pterodactyl? I have no idea - I can't see anything"" you'll say.
Once that's over you'll head up 47-57 switchbacks to the top and will find beautiful 360 views. Have a great time - wear pants. 
",16
17,"Bare Mountain, Lennox Creek, Bear Mines — Washington Trails Association","
I've driven to the end of road 57 4 of the last 5 days.  Today's goal was the Bear Mines up Bare Mountain trail.  I should have read the Trip Reports.  People have been complaining about brush since 2014.  This is on the WTA's Places We've Worked Recently map so I guess they're the one's who get to clean it up again. I got to the first switchback in an hour ten went straight on the trail to Bear Mines.  Much the same overgrown condition.  In 10 minutes I could see rusty relics on the other side of the creek the trail headed up.  It was hot and brushy and no fun so I turned around.I missed the turn down the Bare Mountain trail and went up to the next switchback before realizing my mistake.  Hard to see even when looking.  Struggled down the difficult trail.Back at the truck I drove the quite pleasant .4 mile to the end of the road and the start of the Lennox Creek trail.  This one is much better!  8 minutes past the 3rd road walk bridge (1.25 miles from car) on the left find path to slabs and waterfalls. This was as far as I went today. You don't get the top-of-the-mountain views that Bare Mountain offers from Lennox Creek trail but the trail is nearly brush-free and easier.  Not to mention you haven't been here before. 
",17
18,Barlow Point — Washington Trails Association,"
Can’t wait to try during a clear day. Some knee pain on my way down from the steepness. But highly enjoyable hike. Total time 3hrs slow photographer/hiker.
",18
19,"Barnaby Buttes, Kettle Crest South , Thirteenmile (13 mile) — Washington Trails Association","
I got dropped off on top of Sherman Pass on Friday around noon and proceeded south on the Kettle Crest South trail (#13).  There was intermittent snow that had recently fallen but nothing too bad.  Trail is in great condition and no issues.  I reached the Snow Peak cabin and everything looked in order and there was water available at the trough nearby.  Continued south to the junction with the Barnaby Buttes trail (#7).  Note this is the Barnaby Buttes trail heading to the west and not the other one (#70) that heads east.  The junction is marked well and the trail was in reasonable condition and is mostly an old roadbed.  Some trees down and thick grass at times but really easy to follow and plenty of water along the way.  I made camp down near the area where the map shows this trail turning into a road but really this continues to be a trail that is an old closed road until it reaches the Hall Creek Road (FS Rd 600).  Continued the next morning with a short road walk along Hall Creek Road to reach the junction with the Thirteen Mile trail (#23).  This is my favorite trail on the Colville NF and is really a great hike at this time of the year.  The trail was in excellent condition with just one or two trees down for the entire 16 miles.  There was water in the creek just west of the Bearpot trail junction also in the creek at the FS Rd 2054 crossing (Cougar trailhead) and finally just a few miles before the end of the trail at the junction with highway 21.  Plenty of great places to camp along the way on some of the open balds with old ponderosa pine Douglas-fir and larch throughout.  Beautiful!  All in all I think it was about 28 miles or so and represents one of the best one-way short backpack trips in the area.  Perfect in late spring or early fall.
",19
20,"Beacon Rock State Park - Hamilton Mountain, Hardy Creek, Beacon Rock State Park - Hardy and Rodney Falls — Washington Trails Association","
I was really impressed with this trail. There was a lot of good signage throughout the trail and the guidebook was accurate and easy to follow. We arrived at the trailhead at 9:30am to 2 other vehicles in the lot. Got back around 1 and the lots was full - even on a gray dreary day. The waterfalls were lovely the trail up to Hamilton mountain was good. Challenging for me but not too bad. The weather was the biggest factor - the last mile up we were in the clouds socked in with no view rain and heavy winds that weren't very enjoyable. We still enjoyed some great views on the way up but no mountain tops for us to see today. I would definitely come back and do it again on a better day. Terrain varied from dirt/pine needle covered trail to rocky. Most spots were decently maintained some stairs built in on the switchbacks. On the way back down closer to the falls we passed a lot of hikers - most appeared to possibly just be going to the falls and not doing the full lollipop. 
",20
21,Beacon Rock State Park - Hardy and Rodney Falls — Washington Trails Association,"
Due to some personal condition I had only walked uphill for approximately half hour. I didn't really see any obstacle on the trail. There were a lot of yellowjackets though.
",21
22,Bearhead Mountain — Washington Trails Association,"
We hiked this following an overnight at Summit Lake which I highly recommend! But also makes for a wonderful day hike.

***about the road*** I have a 2013 Honda Civic and that is what I drove up there. For most of the forest road I was driving between 5 and 10 mph and very carefully navigating the potholes to avoid scraping my undercarriage (still happened a few times). A high clearance vehicle is certainly a better choice. However if you don't have that option don't let that deter you. Just drive very slow and pull to the side to allow bigger vehicles to pass when you can.

We started from the north end of Summit Lake and reached the trail junction in just under an hour. From there to the top of Bearhead the trail was clear with a few very small washouts along the southwest ridge in the forest. This just required care when stepping so as not to slip down the hill.

The huckleberries were ripe and delicious! There were some blue wildflowers blooming still (not sure what they were) and some leaves were already turning red.

At the top we had views of Baker and the peaks to the north as well as a gorgeous view of Ray. It was a little too clouded over the Olympics to see those. There are some spots near the top for dispersed camping and a couple was packing up as we arrived.

Total time (with full packs):
North end of Summit Lake to Trail Junction: 54 mins
Junction to top: 1 hour 42 mins
Top back to Junction: 40 mins
Junction to car: 20 mins
",22
23,Beaver Lake Preserve — Washington Trails Association,"
I found this place after dropping off my husband at the Duthie Hill mountain bike park and parked in the small parking lot at around 3:30pm. There were only a couple other cars in the lot. There are a lot of signs that let you know where you are and where to go on Beaver Lake Preserve trails and I only encountered a couple other people on the trail. This trail does connect to the Hazel Wolf Wetlands trail which is dog friendly as well but it was very confusing because there is a part of the connecting trail that doesn't allow dogs but only has a sign one direction so how are the people coming from the other direction supposed to know? It seemed strange that the two places are dog friendly but the trail connecting the two wasn't. These are more of ""if you are in the area"" types of trails; I wouldn't go out of my way for these. 
",23
